Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
4,"Ivana Bradiakova, Nada Pronayova, Anton Gatial, Alzbeta Krutosikova","Synthesis and reactions of 2-[3-(trifluoromethyl)phenyl]furo[3,2-c]pyridine",2008,"CHEMICAL PAPERS","","","",107,"2016-05-17","Journal article"
4,"Dasa Kruzlcova, Jan Mocak, Evangelos Katsoyannos, Ernst Lankmayr","Classification and characterization of olive oils by UV-Vis absorption spectrometry and sensorial analysis",2008,"JOURNAL OF FOOD AND NUTRITION RESEARCH","","","",108,"2016-05-17","Journal article"
4,"Martin Pipiska, Miroslav Hornik, Jana Sekacova, Jozef Augustin, Juraj Lesny","INFLUENCE OF COMPLEXING LIGANDS AND MINERAL NUTRIENTS ON ZINC FOLIAR UPTAKE AND TRANSLOCTION IN VASCULAR PLANTS",2008,"CEREAL RESEARCH COMMUNICATIONS","","","",109,"2016-05-17","Journal article"
4,"Margit Barkoczi, Pal Szakal, Rezso Schmidt, Juraj Lesny, Dora Beke","Beneficial and harmful effects of using Vinasse",2007,"CEREAL RESEARCH COMMUNICATIONS","","","",110,"2016-05-17","Journal article"
4,"L. Chriastel, Y. Kawase, H. Znad","Hydrodynamic modelling of internal loop airlift reactor applying drift-flux model in bubbly flow regime",2007,"CANADIAN JOURNAL OF CHEMICAL ENGINEERING","","","",111,"2016-05-17","Journal article"
4,"P. Gajdos, J. Miklovic, A. Krutosikova","Reactions of 5-[3-(trifluoromethyl)phenyl]furan-2-carbaldehyde",2006,"KHIMIYA GETEROTSIKLICHESKIKH SOEDINENII","","","",112,"2016-05-17","Journal article"
3,"Zdenka Bujnakova, Peter Balaz, Petre Makreski, Gligor Jovanovski, Maria Caplovicova, Lubomir Caplovic, Oleh Shpotyuk, Adam Ingram, Te-Chang Lee, Jing-Jy Cheng, Jan Sedlak, Erika Turianicova, Anna Zorkovska","Arsenic sulfide nanoparticles prepared by milling: properties, free-volume characterization, and anti-cancer effects",2015,"JOURNAL OF MATERIALS SCIENCE","","","",113,"2016-05-17","Journal article"
3,"Malay Dolai, Mahammad Ali, Jan Titis, Roman Boca","Cu(II)-Dy(III) and Co(III)-Dy(III) based single molecule magnets with multiple slow magnetic relaxation processes in the Cu(II)-Dy(III) complex",2015,"DALTON TRANSACTIONS","","","",114,"2016-05-17","Journal article"
3,"Anna Kopcakova, Zuzana Stramova, Simona Kvasnova, Andrej Godany, Zuzana Perhacova, Peter Pristas","Need for database extension for reliable identification of bacteria from extreme environments using MALDI TOF mass spectrometry",2014,"CHEMICAL PAPERS","","","",115,"2016-05-17","Journal article"
3,"Lucia Vahovska, Ivan Potocnak, Svitlana Vitushkina, Michal Dusek, Jan Titis, Roman Boca","Low-dimensional compounds containing cyanido groups. XXVI. Crystal structure, spectroscopic and magnetic properties of Co(II) complexes with non-linear pseudohalide ligands",2014,"POLYHEDRON","","","",116,"2016-05-17","Journal article"
3,"Valentina Sinisi, Katarina Boronova, Silvia Colomban, Luciano Navarini, Federico Berti, Cristina Forzato","Synthesis of Mono-, Di-, and Tri-3,4-dimethoxycinnamoyl-1,5-gamma-quinides",2014,"EUROPEAN JOURNAL OF ORGANIC CHEMISTRY","","","",117,"2016-05-17","Journal article"
3,"R. Boca, L. Dlhan, M. Kopani, M. Miglierini, V. Mrazova, M. Caplovicova","Deposits of iron oxides in the human spleen",2013,"POLYHEDRON","","","",119,"2016-05-17","Journal article"
3,"Adriana Bednarova, Roman Kranvogl, Darinka Brodnjak Voncina, Tjasa Jug, Ernest Beinrohr","Characterization of Slovenian Wines Using Multidimensional Data Analysis from Simple Enological Descriptors",2013,"ACTA CHIMICA SLOVENICA","","","",120,"2016-05-17","Journal article"
3,"Robert Uhrecky, Jan Moncol, Marian Koman, Jan Titis, Roman Boca","Structure and magnetism of a Mn(III)-Mn(II)-Mn(II)-Mn(III) chain complex",2013,"DALTON TRANSACTIONS","","","",121,"2016-05-17","Journal article"
3,"Barbora Vidova, Eva Tothova, L'uboslav Blahut, Viera Horvathova, Andrej Godany","Multiplex PCR for detection of Escherichia coli O157:H7 in foods",2011,"BIOLOGIA","","","",122,"2016-05-17","Journal article"
3,"L'. Lajdova, E. Jona, J. Miklovic, P. Segl'a, L'. Kvasnicova, S. Snircova, R. Janik, S. C. Mojumdar","Thermal properties of solid complexes with biologically important heterocyclic ligands",2010,"JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","","","",123,"2016-05-17","Journal article"
3,"Katja Snuderl, Jan Mocak, Darinka Brodnjak-Voncina, Bibiana Sedlackova","Classification of White Varietal Wines Using Chemical Analysis and Sensorial Evaluations",2009,"ACTA CHIMICA SLOVENICA","","","",124,"2016-05-17","Journal article"
3,"Miroslav Hornik, Martin Pipiska, Jozef Augustin, Juraj Lesny, Martina Kociova","Distribution of Cs-137 and Co-60 in components of fresh water system",2007,"CEREAL RESEARCH COMMUNICATIONS","","","",125,"2016-05-17","Journal article"
3,"Miroslav Hornik, Martin Pipiska, Jozef Augustin, Juraj Lesny, Zuzana Baratova","Distribution of Cs-137 and Co-60 in fresh water plants",2007,"CEREAL RESEARCH COMMUNICATIONS","","","",126,"2016-05-17","Journal article"
2,"Jozef Miklovic, Alena Packova, Peter Segl'a, Jan Titis, Marian Koman, Jan Moncol', Roman Boca, Vladimir Jorik, Hajnalka Krekuska, Dusan Valigura","Synthesis, crystal structures, spectral and magnetic properties of nickel(II) pyridinecarboxylates with N-heterocyclic ligands",2015,"INORGANICA CHIMICA ACTA","","","",127,"2016-05-17","Journal article"
2,"Christoph Krueger, Peter Augustin, L'ubor Dlhan, Jan Pavlik, Jan Moncol', Ivan Nemec, Roman Boca, Franz Renz","Iron(III) complexes with pentadentate Schiff-base ligands: Influence of crystal packing change and pseudohalido coligand variations on spin crossover",2015,"POLYHEDRON","","","",128,"2016-05-17","Journal article"
2,"Eduard N. Chygorin, Vladimir N. Kokozay, Irina V. Omelchenko, Oleg V. Shishkin, Jan Titis, Roman Boca, Dmytro S. Nesterov","Direct synthesis of a {Co-6(III) Fe-6(III)} dodecanuclear complex, revealing an unprecedented molecular structure type",2015,"DALTON TRANSACTIONS","","","",129,"2016-05-17","Journal article"
2,"Fabienne Delporte, Anna Pretova, Patrick du Jardin, Bernard Watillon","Morpho-histology and genotype dependence of in vitro morphogenesis in mature embryo cultures of wheat",2014,"PROTOPLASMA","","","",130,"2016-05-17","Journal article"
2,"Jaroslav Vatral, Roman Boca, Wolfgang Linert","Electrochemical investigation of the redox couple Fe(III)/Fe(II) in the presence of amino acids and neurotransmitters",2014,"ELECTROCHIMICA ACTA","","","",131,"2016-05-17","Journal article"
2,"Alina Bienko, Pavel Kopel, Rene Kizek, Rafal Kruszynski, Dariusz Bienko, Jan Titis, Roman Boca","Synthesis, crystal structure and magnetic properties of trithiocyanurate or thiodiacetate polynuclear Ni(II) and Co(II) complexes",2014,"INORGANICA CHIMICA ACTA","","","",132,"2016-05-17","Journal article"
2,"Monika Stolarova, Juraj Cernak, Milagros Tomas, Irene Ara, Larry R. Falvello, Roman Boca, Jan Titis","o-Phenylenedioxydiacetate complexes of Gd(III) and Ce(III): syntheses, crystal structures, and magnetic properties",2014,"JOURNAL OF COORDINATION CHEMISTRY","","","",133,"2016-05-17","Journal article"
2,"M. Keita, A. Kumar, B. Dali, E. Megnassan, M. I. Siddiqi, V. Frecer, S. Miertus","Quantitative structure-activity relationships and design of thymine-like inhibitors of thymidine monophosphate kinase of Mycobacterium tuberculosis with favourable pharmacokinetic profiles",2014,"RSC ADVANCES","","","",134,"2016-05-17","Journal article"
2,"Oksana V. Nesterova, Marina V. Kirillova, M. Fatima C. Guedes da Silva, Roman Boca, Armando J. L. Pombeiro","How to force a classical chelating ligand to a metal non-chelating bridge: the observation of a rare coordination mode of diethanolamine in the 1D complex {[Cu-2(Piv)(4)(H(3)tBuDea)](Piv)}(n)",2014,"CRYSTENGCOMM","","","",135,"2016-05-17","Journal article"
2,"L'ubomir Mikus, Maria Kovacova, Ladislav Dodok, Alzbeta Medved'ova, Lucia Mikusova, Ernest Sturdik","Effects of enzymes and hydrocolloids on physical, sensory, and shelf-life properties of wheat bread",2013,"CHEMICAL PAPERS","","","",136,"2016-05-17","Journal article"
2,"Tibor Maliar, Maria Maliarova, Jan Kraic, Miroslav Ondrejovic, Ivana Psenakova, Michaela Havrlentova","Thermal and acido-basic stability of antioxidant properties of extracts from cereal and pseudocereal grains",2013,"BIOLOGIA","","","",137,"2016-05-17","Journal article"
2,"Jana Viskupicova, Martina Danihelova, Magdalena Majekova, Tibor Liptaj, Ernest Sturdik","Polyphenol fatty acid esters as serine protease inhibitors: a quantum-chemical QSAR analysis",2012,"JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY","","","",138,"2016-05-17","Journal article"
2,"Roman Boca","Crystal-Field Theory",2012,"HANDBOOK OF MAGNETOCHEMICAL FORMULAE","","","",139,"2016-05-17","Journal article"
2,"Tatiana Durcekova, Jan Mocak, Katarina Boronova, Jan Balla","Effect of the statin therapy on biochemical laboratory tests-A chemometrics study",2011,"JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS","","","",140,"2016-05-17","Journal article"
2,"Jarmila Kovacova, Jozef Lehotay, Eva Urgeova, Jan Mocak, Jozef Cizmarik","DETERMINATION OF SELECTED FLAVONOIDS IN HOP EXTRACT BY HPLC",2011,"JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES","","","",141,"2016-05-17","Journal article"
2,"L. Rabara, M. Aranyosiova, D. Velic","Thiolated cyclodextrin self-assembled monolayer-like characterized with secondary ion mass spectrometry",2011,"APPLIED SURFACE SCIENCE","","","",142,"2016-05-17","Journal article"
2,"T. Durcekova, J. Mocak, J. Lehotay, J. Cizmarik, K. Boronova","Chemometrical study of the anaesthetical activity of alkoxyphenylcarbamic acid esters",2010,"PHARMAZIE","","","",143,"2016-05-17","Journal article"
2,"Roman Boca, Ivan Salitros","Photoswitching of a heptanuclear Fe-II-Fe-III complex - A case of multifunctional magnetic materials",2008,"CHEMICAL PAPERS","","","",144,"2016-05-17","Journal article"
2,"Renata Gasparova, Martin Moncman, Branislav Horvath","Microwave assisted reactions of 2-[3-(trifluoromethyl)phenyl]-4-R(1)-furo[3,2-b] pyrrole-5-carboxhydrazides",2008,"CENTRAL EUROPEAN JOURNAL OF CHEMISTRY","","","",145,"2016-05-17","Journal article"
2,"Jozef Miklovic, Jan Moncol, Dusan Miklos, Peter Segla, Marian Koman","trans-tetraaquabis[3-(3-pyridyl)acrylato-kappa N]cobalt(II)",2008,"ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE","","","",146,"2016-05-17","Journal article"
2,"Dasa Kruzlicova, Jan Mocak, Jan Hrivnak","Classification of wine varieties using multivariate analysis of data obtained by gas chromatography with microcolumn extraction",2008,"JOURNAL OF FOOD AND NUTRITION RESEARCH","","","",147,"2016-05-17","Journal article"
2,"Martin Pipiska, Luhos Vrtoch, Miroslav Hornik, Joze Augustin, Juraj Lesny","Uptake of Cs-137 and Co-60 by bryophytes and lichens",2007,"CEREAL RESEARCH COMMUNICATIONS","","","",148,"2016-05-17","Journal article"
2,"D Romanova, A Vachalkova, K Horvathova, A Krutosikova","DC polarographic and UV spectrometric studies of substituted furo[3,2-b]- and furo[2,3-b]pyrroles",2001,"COLLECTION OF CZECHOSLOVAK CHEMICAL COMMUNICATIONS","","","",149,"2016-05-17","Journal article"
1,"Stefan Janecek, Andrea Kuchtova, Sona Petrovicova","A novel GH13 subfamily of alpha-amylases with a pair of tryptophans in the helix alpha 3 of the catalytic TIM-barrel, the LPDlx signature in the conserved sequence region V and a conserved aromatic motif at the C-terminus",2015,"BIOLOGIA","","","",150,"2016-05-17","Journal article"
1,"Andrea Kuchtova, Stefan Janecek","In silico analysis of family GH77 with focus on amylomaltases from borreliae and disproportionating enzymes DPE2 from plants and bacteria",2015,"BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS","","","",151,"2016-05-17","Journal article"
1,"Violeta Ivanova-Petropulos, Silvia Jakabova, Dusko Nedelkovski, Vladimir Pavlik, Zelmira Balazova, Ondrej Hegedus","Determination of Pb and Cd in Macedonian Wines by Electrothermal Atomic Absorption Spectrometry (ETAAS)",2015,"FOOD ANALYTICAL METHODS","","","",152,"2016-05-17","Journal article"
1,"Farsheed Shahbazi-Raz, Vahid Amani, Ehsan Bahojb Noruzi, Nasser Safari, Roman Boca, Jan Titis, Behrouz Notash","Synthesis, characterization, electrochemical and magnetic study of mixed ligand mono iron and O-methoxy bridged diiron complexes",2015,"INORGANICA CHIMICA ACTA","","","",153,"2016-05-17","Journal article"
1,"Luc C. Owono Owono, Fidele Ntie-Kang, Melalie Keita, Eugene Megnassan, Vladimir Frecer, Stanislav Miertus","Virtually Designed Triclosan-Based Inhibitors of Enoyl-Acyl Carrier Protein Reductase of Mycobacterium tuberculosis and of Plasmodium falciparum",2015,"MOLECULAR INFORMATICS","","","",154,"2016-05-17","Journal article"
1,"D. Pagacikova, J. Lehotay","Determination of Synthetic Colors in Meat Products Using High-Performance Liquid Chromatography with Photodiode Array Detector",2015,"JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES","","","",155,"2016-05-17","Journal article"
1,"Lukas Smolko, Juraj Cernak, Juraj Kuchar, Roman Boca","Syntheses, crystal structures, and magnetic properties of two isostructural complexes (trenH(4))(2)[CoX4]X-6 (X = Cl, Br)",2015,"MONATSHEFTE FUR CHEMIE","","","",157,"2016-05-17","Journal article"
1,"Robert Uhrecky, Ingrid Svoboda, Zdenka Ruzickova, Marian Koman, Lubor Dlhan, Jan Pavlik, Jan Moncol, Roman Boca","Synthesis, structure and magnetism of manganese and iron dipicolinates with N,N '-donor ligands",2015,"INORGANICA CHIMICA ACTA","","","",158,"2016-05-17","Journal article"
1,"Katarina Hrobonova, Jakub Moravcik, Jozef Lehotay, Daniel W. Armstrong","Determination of methionine enantiomers by HPLC on the cyclofructan chiral stationary phase",2015,"ANALYTICAL METHODS","","","",159,"2016-05-17","Journal article"
1,"K. Jansakova, J. Babickova, B. Filova, E. Lengyelova, M. Havrlentova, J. Kraic, P. Celec, L. Tothova","Anthocyanin-Rich Diet in Chemically Induced Colitis in Mice",2015,"FOLIA BIOLOGICA","","","",160,"2016-05-17","Journal article"
1,"L. Smolko, J. Cernak, M. Dusek, J. Miklovic, J. Titis, R. Boca","Three tetracoordinate Co(II) complexes [Co(biq)X-2] (X = Cl, Br, I) with easy-plane magnetic anisotropy as field-induced single-molecule magnets",2015,"DALTON TRANSACTIONS","","","",161,"2016-05-17","Journal article"
1,"Robert Uhrecky, Jan Pavlik, Zdenka Ruzickova, L'ubor Dlhan, Marian Koman, Roman Boca, Jan Moncol","Synthesis, crystal structure and magnetism of iron(III) and manganese(III) dipicolinates with pyridinemethanols",2014,"JOURNAL OF MOLECULAR STRUCTURE","","","",162,"2016-05-17","Journal article"
1,"Denisa Partelova, Jozef Uhrovcik, Juraj Lesny, Miroslav Hornik, Pavol Rajec, Peter Kovac, Stanislav Hostin","Application of positron emission tomography glucose for visualization and quantification of solute transport in plant tissues",2014,"CHEMICAL PAPERS","","","",163,"2016-05-17","Journal article"
1,"M. Makohusova, V. Mrazova, W. Haase, R. Boca","Magnetostructural J-correlations in complexes with tetrahedro-{Cu-4} core",2014,"POLYHEDRON","","","",164,"2016-05-17","Journal article"
1,"Danica Cechova, Alena Martiskova, Zdenka Padelkova, Lukas Gal'a, L'ubor Dlhan, Dusan Valigura, Marian Valko, Roman Boca, Jan Moncol","Manganese(II) one-dimensional coordination polymers with nitrobenzoato or nitrosalicylato bridges: Syntheses, crystal structures, and magnetic properties",2014,"POLYHEDRON","","","",165,"2016-05-17","Journal article"
1,"C. Bonini, L. Chiummiento, N. Di Blasio, M. Funicello, P. Lupattelli, F. Tramutola, F. Berti, A. Ostric, S. Miertus, V. Frecer, D. -X. Kong","Synthesis and biological evaluation of new simple indolic non peptidic HIV Protease inhibitors: The effect of different substitution patterns",2014,"BIOORGANIC & MEDICINAL CHEMISTRY","","","",166,"2016-05-17","Journal article"
1,"Katarina Majzlova, Stefan Janecek","Two structurally related starch-binding domain families CBM25 and CBM26",2014,"BIOLOGIA","","","",167,"2016-05-17","Journal article"
1,"Ivana Dokupilova, Daniele Migliaro, Daniel Mihalik, Manna Crespan, Jan Kraic","Genotyping of Vitis vinifera L. within the Slovak national collection of genetic resources",2014,"CENTRAL EUROPEAN JOURNAL OF BIOLOGY","","","",168,"2016-05-17","Journal article"
1,"M. Ligor, J. Kovacova, R. M. Gadzala-Kopciuch, S. Studzinska, Sz. Bocian, J. Lehotay, B. Buszewski","Study of RP HPLC Retention Behaviours in Analysis of Carotenoids",2014,"CHROMATOGRAPHIA","","","",169,"2016-05-17","Journal article"
1,"M. Miglierini, R. Boca, M. Kopani, A. Lancok","Mossbauer and SQUID Characterization of Iron in Human Tissue: Case of Globus Pallidus",2014,"ACTA PHYSICA POLONICA A","","","",170,"2016-05-17","Journal article"
1,"Barbora Vidova, Zuzana Sramkova, Lenka Tisakova, Michaela Oravkinova, Andrej Godany","Bioinformatics analysis of bacteriophage and prophage endolysin domains",2014,"BIOLOGIA","","","",171,"2016-05-17","Journal article"
1,"Federico Berti, Vladimir Frecer, Stanislav Miertus","Inhibitors of HIV-Protease from Computational Design. A History of Theory and Synthesis Still to be Fully Appreciated",2014,"CURRENT PHARMACEUTICAL DESIGN","","","",172,"2016-05-17","Journal article"
1,"Vladimir Fristak, Michaela Valovciakova, Martin Pipiska, Juraj Lesnsy","The Influence of Chemical Modification on the Co2+ Ion Sorption Process by Anaerobic Sludge",2014,"POLISH JOURNAL OF ENVIRONMENTAL STUDIES","","","",173,"2016-05-17","Journal article"
1,"Miroslav Oelvecky, Darja Gabriska","Motion capture as an extension of web-based simulation",2014,"APPLIED SCIENCE, MATERIALS SCIENCE AND INFORMATION TECHNOLOGIES IN INDUSTRY","","","",174,"2016-05-17","Review"
1,"Lenka Tisakova, Barbora Vidova, Jarmila Farkasovska, Andrej Godany","Bacteriophage endolysin Lyt mu 1/6: characterization of the C-terminal binding domain",2014,"FEMS MICROBIOLOGY LETTERS","","","",176,"2016-05-17","Journal article"
1,"M. Vierikova, E. Hrnciarikova, J. Lehotay","DETERMINATION OF NATAMYCIN CONTENT IN CHEESE USING ULTRA PERFORMANCE LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY",2013,"JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES","","","",178,"2016-05-17","Journal article"
1,"Darja Kavsek, Adriana Bednarova, Misa Biro, Roman Kranvogl, Darinka Brodnjak Voncina, Ernest Beinrohr","Characterization of Slovenian coal and estimation of coal heating value based on proximate analysis using regression and artificial neural networks",2013,"CENTRAL EUROPEAN JOURNAL OF CHEMISTRY","","","",179,"2016-05-17","Journal article"
1,"Katarina Boronova, Jozef Lehotay, Katarina Hrobonova, Daniel W. Armstrong","Study of physicochemical interaction of aryloxyaminopropanol derivatives with teicoplanin and vancomycin phases in view of quantitative structure-property relationship studies",2013,"JOURNAL OF CHROMATOGRAPHY A","","","",180,"2016-05-17","Journal article"
1,"J. Pavlik, W. Nicolazzi, G. Molnar, R. Boca, A. Bousseksou","Coupled magnetic interactions and the Ising-like model for spin crossover in binuclear compounds",2013,"EUROPEAN PHYSICAL JOURNAL B","","","",181,"2016-05-17","Journal article"
1,"Juraj Hudak, Tomas Mikysek, Roman Boca, Karel Vytras","Abrasive Voltammetry of Trinuclear Cobalt-Benzoato Complex with iso-Nicotinamide at a Carbon Paste Electrode",2013,"INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE","","","",182,"2016-05-17","Journal article"
1,"Adriana Bednarova, Jan Mocak, Walter Goessler, Margit Velik, Josef Kaufmann, Ladislav Staruch","Effect of animal age and gender on fatty acid and elemental composition in Austrian beef applicable for authentication purposes",2013,"CHEMICAL PAPERS","","","",183,"2016-05-17","Journal article"
1,"Monika Idesicova, Alzbeta Krutosikova, Viera Mrazova, Roman Boca","Magnetic chains formed from tetra-coordinate Co(II) complexes",2013,"CHEMICAL PAPERS","","","",184,"2016-05-17","Journal article"
1,"Lucia Mikusova, Petra Gerekova, Monika Kockova, Ernest Sturdik, Martina Valachovicova, Andrea Holubkova, Marek Vajdak, L'ubomir Mikus","Nutritional, antioxidant, and glycaemic characteristics of new functional bread",2013,"CHEMICAL PAPERS","","","",185,"2016-05-17","Journal article"
1,"Daniel Mihalik, L'ubica Nogova, Katarina Ondreickova, Marcela Gubisova, Jozef Gubis, Edita Gregova, Ivana Dokupilova, Roman Drska, Jan Kraic","A new high-molecular-weight glutenin subunit from the slovak wheat (Triticum aestivum L.) cultivar 'Trebisovska 76'",2013,"FOOD SCIENCE AND BIOTECHNOLOGY","","","",186,"2016-05-17","Journal article"
1,"Zuzana Bezakova","Green Computing Practices as a Part of the Way to the Sustainable Development",2013,"ENVIRONMENTAL SOFTWARE SYSTEMS: FOSTERING INFORMATION SHARING","","","",187,"2016-05-17","Review"
1,"Darja Kavsek, Tina Jeric, Alenka Majcen Le Marechal, Simona Vajnhandl, Adriana Bednarova, Darinka Brodnjak Voncina","Multivariate Analysis and Chemometric Characterisation of Textile Wastewater Streams",2013,"ACTA CHIMICA SLOVENICA","","","",188,"2016-05-17","Journal article"
1,"Martin Kotus, Darina Matiskova, Ladislav Mura","Impact of Technological Factors on Dosing of Metal at Die-Casting",2013,"MATERIALS, TECHNOLOGIES AND QUALITY ASSURANCE","","","",189,"2016-05-17","Review"
1,"Miroslav Ondrejovic, Filip Kraic, Hana Benkovicova, Stanislav Silhar","Optimisation of Antioxidant Extraction from Lemon Balm (Melissa officinalis)",2012,"CZECH JOURNAL OF FOOD SCIENCES","","","",190,"2016-05-17","Journal article"
1,"Natalia Faragova, Katarina Gottwaldova, Juraj Farago","Effect of transgenic alfalfa plants with introduced gene for Alfalfa Mosaic Virus coat protein on rhizosphere microbial community composition and physiological profile",2011,"BIOLOGIA","","","",191,"2016-05-17","Journal article"
1,"Peter Nemecek, Jan Mocak, Jozef Lehotay, Karel Waisser","PREDICTION OF HPLC RETENTION FACTOR OF POTENTIAL ANTITUBERCULOTICS BY QSRR",2011,"JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES","","","",192,"2016-05-17","Journal article"
1,"V. O. Ondas, V. H. Horvathova, H. N. Novanska, M. B. Blazkova, E. S. Sturdik","Assessment of waxy and non-waxy corn and wheat cultivars in terms of ethanol fermentation",2010,"JOURNAL OF BIOTECHNOLOGY","","","",193,"2016-05-17","Journal article"
1,"A. Krutosikova, T. Gracza","Chemistry of Hetero Analogs of Pentalene Dianion",2009,"AROMATICITY IN HETEROCYCLIC COMPOUNDS","","","",194,"2016-05-17","Review"
1,"Daniela Mikulikova, Viera Horvathova, Alzbeta Zofajova","Starch level and composition of wheat, rye and triticale grains",2008,"CHEMICKE LISTY","","","",195,"2016-05-17","Journal article"
1,"L Zavodska, J Lesny, P Szakal, R Schmidt","Basic characterisation and radiometric strontium sorption study of lignite from south-west Slovakia",2006,"CEREAL RESEARCH COMMUNICATIONS","","","",196,"2016-05-17","Journal article"
0,"Anna Piecha-Bisiorek, Alina Bienko, Ryszard Jakubas, Roman Boca, Marek Weselski, Vasyl Kinzhybalo, Adam Pietraszko, Martyna Wojciechowska, Wojciech Medycki, Danuta Kruk","Physical and Structural Characterization of Imidazolium-Based Organic-Inorganic Hybrid: (C3N2H5)(2)[CoCl4]",2016,"JOURNAL OF PHYSICAL CHEMISTRY A","","","",197,"2016-05-17","Journal article"
0,"Peter Skorna, Jan Rimarcik, Peter Poliak, Vladimir Lukes, Erik Klein","Thermodynamic study of vitamin B6 antioxidant potential",2016,"COMPUTATIONAL AND THEORETICAL CHEMISTRY","","","",199,"2016-05-17","Journal article"
0,"Anna Sunovska, Veronika Hasikova, Miroslav Hornik, Martin Pipiska, Stanislav Hostin, Juraj Lesny","Removal of Cd by dried biomass of freshwater moss Vesicularia dubyana: batch and column studies",2016,"DESALINATION AND WATER TREATMENT","","","",200,"2016-05-17","Journal article"
0,"Anna Vrablova, Larry R. Falvello, Javier Campo, Jozef Miklovic, Roman Boca, Juraj Cernak, Milagros Tomas","Preparation, First Structure Analysis, and Magnetism of the Long-Known Nickel Benzoate Trihydrate - A Linear Ni center dot center dot center dot Ni center dot center dot center dot Ni Polymer and Its Parallels with the Active Site of Urease",2016,"EUROPEAN JOURNAL OF INORGANIC CHEMISTRY","","","",201,"2016-05-17","Journal article"
0,"Alena Packova, Jozef Miklovic, Roman Boca","Manifold relaxation processes in a mononuclear Co(II) single-molecule magnet",2015,"POLYHEDRON","","","",202,"2016-05-17","Journal article"
0,"Anita Andicsova-Eckstein, Erika Kozma, Zita Puterova-Tokarova, Daniel Vegh","Direct trifluoroacetylation of mono- and disubstituted thiophene derivatives",2015,"JOURNAL OF FLUORINE CHEMISTRY","","","",203,"2016-05-17","Journal article"
0,"Vladimir Fristak, Wolfgang Friesl-Hanl, Anna Wawra, Martin Pipiska, Gerhard Soja","Effect of biochar artificial ageing on Cd and Cu sorption characteristics",2015,"JOURNAL OF GEOCHEMICAL EXPLORATION","","","",204,"2016-05-17","Journal article"
0,"Affiba Florance Kouassi, Mawa Kone, Melalie Keita, Akori Esmel, Eugene Megnassan, Yao Thomas N'Guessan, Vladimir Frecer, Stanislav Miertus","Computer-Aided Design of Orally Bioavailable Pyrrolidine Carboxamide Inhibitors of Enoyl-Acyl Carrier Protein Reductase of Mycobacterium tuberculosis with Favorable Pharmacokinetic Profiles",2015,"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","","","",205,"2016-05-17","Journal article"
0,"Daniel Mihalik, Lenka Klcova, Katarina Ondreickova, Martina Hudcovicova, Marcela Gubisova, Tatiana Klempova, Milan Certik, Janos Pauk, Jan Kraic","Biosynthesis of Essential Polyunsaturated Fatty Acids in Wheat Triggered by Expression of Artificial Gene",2015,"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","","","",206,"2016-05-17","Journal article"
0,"Tibor Maliar, Gabriela Slaba, Peter Nemecek, Maria Maliarova, Michaela Benkova, Michaela Havrlentova, Miroslav Ondrejovic, Jan Kraic","Antioxidants, Enzyme Inhibitors, and Biogenic Compounds in Grain Extracts of Barleys",2015,"CHEMISTRY & BIODIVERSITY","","","",207,"2016-05-17","Journal article"
0,"Maria Maliarova, Viera Mrazova, Michaela Havrlentova, Jozef Sokol","Optimization of Parameters for Extraction of Avenanthramides from Oat (Avena sativa L.) Grain Using Response Surface Methodology (RSM)",2015,"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","","","",208,"2016-05-17","Journal article"
0,"Jaroslav Vatral, Roman Boca, Wolfgang Linert","Oxidation properties of dopamine at and near physiological conditions",2015,"MONATSHEFTE FUR CHEMIE","","","",209,"2016-05-17","Journal article"
0,"Vladimir Fristak, Martin Pipiska, Maria Novakova, Juraj Lesny, Alena Packova","Sorption separation of cadmium from aqueous solutions by alginite material: kinetic and equilibrium study",2015,"DESALINATION AND WATER TREATMENT","","","",210,"2016-05-17","Journal article"
0,"Martin Kopani, Marcel Miglierini, Adriana Lancok, Julius Dekan, Maria Caplovicova, Jan Jakubovsky, Roman Boca, Hedviga Mrazova","Iron oxides in human spleen",2015,"BIOMETALS","","","",211,"2016-05-17","Journal article"
0,"Kristina Matelkova, Roman Boca, Lubor Dlhan, Radovan Herchel, Jan Moncol, Ingrid Svoboda, Anna Maslejova","Dinuclear and polymeric (mu-formato)nickel(II) complexes: Synthesis, structure, spectral and magnetic properties",2015,"POLYHEDRON","","","",212,"2016-05-17","Journal article"
